,Colony,Pollen,Pollen_popname,Pesticide,Treatment,Group,Pollen.diet
Q077,F2,Erica,Heather,IMD-A,treated,H_IMDA,Diet-2
Q079,F2,Mixed,Mixed,IMD-A,treated,M_IMDA,Combined.diet
Q080,F4,Mixed,Mixed,untreated,untreated,M_CTL,Combined.diet
Q085,F2,Cistus,Rockrose,untreated,untreated,R_CTL,Diet-1
Q101B,F3,Mixed,Mixed,IMD-B,treated,M_IMDB,Combined.diet
Q108,F2,Mixed,Mixed,IMD-A,treated,M_IMDA,Combined.diet
Q111,F4,Mixed,Mixed,IMD-A,treated,M_IMDA,Combined.diet
Q114,F3,Erica,Heather,IMD-A,treated,H_IMDA,Diet-2
Q118,F4,Cistus,Rockrose,untreated,untreated,R_CTL,Diet-1
Q119,F4,Mixed,Mixed,untreated,untreated,M_CTL,Combined.diet
Q122,F2,Erica,Heather,IMD-B,treated,H_IMDB,Diet-2
Q130,F2,Mixed,Mixed,IMD-B,treated,M_IMDB,Combined.diet
Q138B,F4,Cistus,Rockrose,IMD-B,treated,R_IMDB,Diet-1
Q141,F4,Mixed,Mixed,IMD-B,treated,M_IMDB,Combined.diet
Q145B,F3,Cistus,Rockrose,IMD-A,treated,R_IMDA,Diet-1
Q154B,F4,Erica,Heather,IMD-A,treated,H_IMDA,Diet-2
Q155B,F4,Cistus,Rockrose,IMD-A,treated,R_IMDA,Diet-1
Q158,F3,Mixed,Mixed,IMD-A,treated,M_IMDA,Combined.diet
Q166,F4,Mixed,Mixed,IMD-A,treated,M_IMDA,Combined.diet
Q168B,F3,Erica,Heather,IMD-B,treated,H_IMDB,Diet-2
Q172,F3,Mixed,Mixed,IMD-A,treated,M_IMDA,Combined.diet
Q180,F3,Mixed,Mixed,untreated,untreated,M_CTL,Combined.diet
Q186,F4,Erica,Heather,IMD-B,treated,H_IMDB,Diet-2
Q196B,F4,Erica,Heather,IMD-A,treated,H_IMDA,Diet-2
Q197,F4,Cistus,Rockrose,IMD-A,treated,R_IMDA,Diet-1
Q203,F3,Mixed,Mixed,untreated,untreated,M_CTL,Combined.diet
Q209,F2,Cistus,Rockrose,IMD-B,treated,R_IMDB,Diet-1
Q210,F3,Cistus,Rockrose,IMD-A,treated,R_IMDA,Diet-1
Q225B,F3,Cistus,Rockrose,IMD-B,treated,R_IMDB,Diet-1
Q29B,F4,Erica,Heather,untreated,untreated,H_CTL,Diet-2
Q31B,F2,Erica,Heather,untreated,untreated,H_CTL,Diet-2
Q35B,F2,Erica,Heather,IMD-A,treated,H_IMDA,Diet-2
Q36B,F4,Mixed,Mixed,untreated,untreated,M_CTL,Combined.diet
Q37B,F2,Cistus,Rockrose,IMD-A,treated,R_IMDA,Diet-1
Q38B,F3,Mixed,Mixed,IMD-A,treated,M_IMDA,Combined.diet
Q41B,F3,Cistus,Rockrose,untreated,untreated,R_CTL,Diet-1
Q44B,F3,Erica,Heather,IMD-A,treated,H_IMDA,Diet-2
Q48B,F2,Mixed,Mixed,IMD-A,treated,M_IMDA,Combined.diet
Q50B,F2,Erica,Heather,untreated,untreated,H_CTL,Diet-2
Q51B,F4,Mixed,Mixed,IMD-A,treated,M_IMDA,Combined.diet
Q53B,F3,Erica,Heather,untreated,untreated,H_CTL,Diet-2
Q54B,F2,Cistus,Rockrose,untreated,untreated,R_CTL,Diet-1
Q55B,F2,Mixed,Mixed,untreated,untreated,M_CTL,Combined.diet
Q57B,F3,Cistus,Rockrose,untreated,untreated,R_CTL,Diet-1
Q63B,F3,Erica,Heather,untreated,untreated,H_CTL,Diet-2
Q70B,F4,Erica,Heather,untreated,untreated,H_CTL,Diet-2
Q71B,F4,Cistus,Rockrose,untreated,untreated,R_CTL,Diet-1
Q76B,F2,Mixed,Mixed,untreated,untreated,M_CTL,Combined.diet
Q78B,F2,Cistus,Rockrose,IMD-A,treated,R_IMDA,Diet-1
Q81B,F3,Erica,Heather,IMD-B,treated,H_IMDB,Diet-2
Q90B,F2,Erica,Heather,IMD-B,treated,H_IMDB,Diet-2
Q91B,F2,Cistus,Rockrose,IMD-B,treated,R_IMDB,Diet-1
Q93B,F2,Mixed,Mixed,IMD-B,treated,M_IMDB,Combined.diet
Q96B,F4,Mixed,Mixed,IMD-B,treated,M_IMDB,Combined.diet
