,H_IMDB,H_IMDA,H_CTL,M_IMDA,M_IMDB,M_CTL,R_IMDA,R_IMDB,R_CTL
CRY2,23.20814822,19.92209656,17.77988876,18.31568463,17.80064395,16.27841462,19.24582578,19.06729003,17.70764947
LOC100607968,2.544103372,2.669507536,2.823459728,2.4850647,2.622178351,1.975053307,2.891993035,2.23165815,2.331867278
LOC100642189,1280.927123,1211.348624,1056.477391,1078.948052,1040.470508,1104.028627,1163.662826,1145.629789,1122.599109
LOC100739998,16.02021489,15.19778213,16.19585646,15.34111343,16.80764809,15.10558539,15.14458125,16.28699816,15.08375104
LOC100739999,51.31432992,50.29961256,46.3319518,48.512733,46.97046723,40.69973866,50.7835702,43.39060512,42.61356525
LOC100740000,72.49279564,83.0128514,80.71310531,82.82476824,77.54139327,83.51692915,83.49792113,83.38580559,83.76212953
LOC100740001,25.89250271,26.34662605,25.5239456,25.57118864,25.45070264,25.14621709,27.25588401,26.56185608,26.06810177
LOC100740002,4.769586316,4.809953303,5.303826343,5.188315868,4.525147243,4.751937709,4.198324028,5.494910193,4.557464328
LOC100740003,22.55721893,27.41697416,29.45021455,29.10132569,28.69314451,30.03928846,28.46739813,32.57671387,28.61968944
LOC100740004,136.8491904,137.7991807,141.4331343,142.6543493,152.501236,138.6497387,150.6479378,144.0532929,151.6944529
LOC100740005,16.31079191,15.45734967,17.17661193,16.89404716,16.74116101,17.16942804,16.38350772,15.80082671,16.47780357
LOC100740006,0.008833806,0,0.011545474,0.008121246,0.006328153,0,0.006703301,0.024146363,0.013841052
LOC100740007,3.438998533,4.656261092,2.574154624,28.39628555,8.521098186,67.97680815,12.57408881,4.761110929,11.99165595
LOC100740008,95.27455189,100.2272032,97.67562605,101.9856554,107.7079367,100.4324614,103.4932987,102.9777187,102.4551689
LOC100740009,4.120176569,2.962573112,3.205732261,3.23816998,3.977636027,2.959710882,3.15826111,3.48331706,3.170069663
LOC100740010,18.27433231,15.10171183,14.91125215,15.21667201,17.13238135,14.85907398,16.02024593,18.90249825,14.83139563
LOC100740011,5.75748564,5.52020682,5.066168763,6.067147087,5.281120439,5.602317205,5.772259331,5.650168428,5.334876825
LOC100740012,11.96178223,12.07820511,12.18702103,12.87940731,13.0761932,12.66082058,13.00742079,12.8150182,12.57050951
LOC100740013,15.14482327,15.95667309,16.22479417,16.31593842,16.9850016,15.66682744,16.90752791,16.20287923,16.04346215
LOC100740014,12.10449518,12.04337671,11.31624295,12.358545,12.20539979,11.17419978,11.77954278,12.42586892,11.49825725
LOC100740016,18.1004943,17.16307075,16.63666241,17.59941692,18.44705533,17.53042757,18.50880156,17.97756417,18.17132799
LOC100740017,15.79178101,19.67765299,17.37719307,21.76531626,17.93306943,23.68213002,19.0900174,16.16327319,18.04721939
LOC100740018,34.29387217,35.59524444,36.40436068,36.86925584,36.32390579,34.66909223,36.38370059,35.7402831,33.98055265
LOC100740019,9.843229811,11.06761247,11.42237819,9.621539227,8.994627798,9.699392952,8.994449111,9.344367671,9.797695976
LOC100740021,12.1451611,13.88580183,14.06949366,13.82694102,13.9939792,13.60861147,14.07858821,13.8518704,13.41007227
LOC100740022,53.42143433,50.43280425,55.53330956,51.37875941,53.50832432,49.59037554,49.45501069,51.16786176,52.21181155
LOC100740023,4.732866257,5.910374772,5.476357795,6.132453465,6.475732946,6.584218759,5.944008182,7.207072934,5.643331653
LOC100740024,21.53769338,22.98696126,26.95932565,27.49133782,27.87874354,28.80374116,26.47554329,26.47855788,27.44383127
LOC100740025,27.13611919,20.96498105,19.66371308,20.24794961,21.00207899,18.85438236,22.44033467,21.96627642,20.30456928
LOC100740026,6.977117936,8.186839511,9.246293002,8.26179634,6.849105882,10.73228973,7.061626737,9.605452314,8.184922802
LOC100740027,13.56740506,15.2683635,16.74131067,16.50044577,15.29400831,15.53608719,15.08079017,16.89222255,15.64960398
LOC100740028,126.0582648,136.7844499,132.8011552,135.9414536,143.2531581,131.2939527,138.3578098,134.9621661,133.6543355
LOC100740029,50.89842064,49.45873311,48.47419782,49.90082037,51.49945752,46.24156785,50.58334027,50.70693815,49.68030285
LOC100740030,43.55976096,44.95308163,41.59986525,48.49198003,49.09432566,45.96954031,48.49256208,50.34654502,45.51392471
LOC100740034,51.66265479,43.5589967,39.87605602,42.95350143,41.16419164,37.50014068,45.63727817,43.47443361,44.00417907
LOC100740035,44.46550686,49.57606094,51.183905,54.34358387,52.9742641,54.52996062,52.74306523,52.55979301,50.28358661
LOC100740036,23.90949229,24.5964741,23.0242843,25.01888192,25.06279496,23.52076694,24.28147851,24.10534998,25.04991097
LOC100740038,12.07837753,13.70614122,13.57876896,13.52531022,15.50483302,14.34556287,14.2297878,15.51242956,13.49621191
LOC100740039,42.92498684,48.72569025,49.35887172,52.17579769,50.46445776,51.48705661,50.31931166,54.71532546,49.78985074
LOC100740040,0.052486793,0.086691309,0,0.149952109,0.210689078,0.090768542,0.191697621,0.049815259,0.054322447
