"","Accession.Number","Bimp","GeneID","Locus","Protein.Name"
"1","NP_001267051.1","BIMP15161",100607970,"CRY2","cryptochrome 2"
"2","XP_003484388.1","BIMP14616",100740157,"LOC100740157","PHD finger-like domain-containing protein 5A"
"3","XP_003484389.1","BIMP14615",100740276,"LOC100740276","protein claret segregational"
"4","XP_003484390.1","BIMP13785",100740399,"LOC100740399","glycosylphosphatidylinositol anchor attachment 1 protein"
"5","XP_003484391.1","BIMP13776",100740519,"LOC100740519","pleiotropic regulator 1"
"6","XP_003484392.2","BIMP13787",100740639,"LOC100740639","uncharacterized protein LOC100740639 isoform X1"
"7","XP_003484396.1","BIMP13773",100741124,"LOC100741124","serine-protein kinase ATM isoform X1"
"8","XP_003484397.1","BIMP13791",100741243,"LOC100741243","inositol-3-phosphate synthase 1-B isoform X2"
"9","XP_003484399.1","BIMP13772",100741485,"LOC100741485","bifunctional 3\\'-phosphoadenosine 5\\'-phosphosulfate synthase isoform X2"
"10","XP_003484402.2","BIMP13794",100741842,"LOC100741842","U3 small nucleolar RNA-associated protein 14 homolog A"
"11","XP_003484403.1","BIMP13793",100741961,"LOC100741961","coiled-coil domain-containing protein 6"
"12","XP_003484404.1","BIMP13769",100742082,"LOC100742082","tail-anchored protein insertion receptor WRB"
"13","XP_003484405.1","BIMP13795",100742284,"LOC100742284","S-adenosylmethionine decarboxylase proenzyme"
"14","XP_003484407.1","BIMP13766",100742532,"LOC100742532","probable glutamate--tRNA ligase, mitochondrial isoform X1"
"15","XP_003484408.1","BIMP13805",100742649,"LOC100742649","protein disulfide-isomerase TMX3 isoform X2"
"16","XP_003484409.1","BIMP13762",100742768,"LOC100742768","programmed cell death protein 5"
"17","XP_003484410.1","BIMP13784",100742884,"LOC100742884","PRKCA-binding protein isoform X1"
"18","XP_003484411.1","BIMP13786",100743001,"LOC100743001","intraflagellar transport protein 122 homolog isoform X1"
"19","XP_003484412.1","BIMP13775",100743123,"LOC100743123","prostaglandin E synthase 2"
"20","XP_003484413.1","BIMP13788",100743242,"LOC100743242","geranylgeranyl transferase type-2 subunit alpha isoform X1"
"21","XP_003484416.1","BIMP13798",100743606,"LOC100743606","polycomb protein suz12-B"
"22","XP_003484424.1","BIMP15860",100744673,"LOC100744673","green-sensitive opsin-like isoform X1"
"23","XP_003484425.1","BIMP15859",100744792,"LOC100744792","proteasome subunit alpha type-3"
"24","XP_003484430.1","BIMP15848",100745518,"LOC100745518","calcineurin B homologous protein 1"
"25","XP_003484431.1","BIMP15866",100745641,"LOC100745641","protein transport protein Sec61 subunit gamma"
"26","XP_003484432.1","BIMP15847",100745764,"LOC100745764","activating transcription factor 3 isoform X1"
"27","XP_003484433.1","BIMP15867",100745881,"LOC100745881","nucleic acid dioxygenase ALKBH1"
"28","XP_003484434.1","BIMP15868",100745999,"LOC100745999","V-type proton ATPase subunit D"
"29","XP_003484436.1","BIMP15846",100746240,"LOC100746240","zinc finger protein 622"
"30","XP_003484445.1","BIMP15881",100747269,"LOC100747269","leucine-rich repeat-containing protein 58"
"31","XP_003484448.1","BIMP15842",100747625,"LOC100747625","glycogen synthase kinase-3 beta isoform X5"
"32","XP_003484449.1","BIMP15840",100747747,"LOC100747747","myotubularin-related protein 9"
"33","XP_003484452.1","BIMP15838",100748114,"LOC100748114","signal recognition particle receptor subunit alpha homolog isoform X2"
"34","XP_003484453.1","BIMP15837",100748236,"LOC100748236","uncharacterized protein LOC100748236"
"35","XP_003484458.1","BIMP15887",100748747,"LOC100748747","uncharacterized protein LOC100748747"
"36","XP_003484460.1","BIMP15888",100748985,"LOC100748985","uncharacterized protein LOC100748985"
"37","XP_003484461.1","BIMP15834",100749106,"LOC100749106","uncharacterized protein LOC100749106"
"38","XP_003484462.1","BIMP15891",100749223,"LOC100749223","retinoic acid receptor RXR-alpha-B isoform X1"
"39","XP_003484463.1","BIMP15891",100749223,"LOC100749223","retinoic acid receptor RXR-alpha-B isoform X4"
"40","XP_003484464.1","BIMP15832",100749428,"LOC100749428","uncharacterized protein C7orf26 homolog"
"41","XP_003484465.2","BIMP15890",100749545,"LOC100749545","ribosomal RNA-processing protein 7 homolog A"
"42","XP_003484467.1","BIMP15828",100749777,"LOC100749777","neuroligin-4, Y-linked-like"
"43","XP_003484468.1","BIMP15892",100749895,"LOC100749895","la protein homolog"
"44","XP_003484469.1","BIMP15829",100750016,"LOC100750016","translationally-controlled tumor protein homolog"
"45","XP_003484478.1","BIMP15886",100740967,"LOC100740967","uncharacterized protein LOC100740967"
"46","XP_003484482.1","BIMP24984",100741444,"LOC100741444","uncharacterized protein LOC100741444"
"47","XP_003484486.1","BIMP24977",100741924,"LOC100741924","uncharacterized protein LOC100741924 isoform X1"
"48","XP_003484487.1","BIMP24988",100742043,"LOC100742043","follistatin-related protein 5 isoform X2"
"49","XP_003484488.1","BIMP24976",100742165,"LOC100742165","importin subunit alpha"
"50","XP_003484490.1","BIMP24975",100742408,"LOC100742408","vesicle transport protein SFT2B isoform X1"
"51","XP_003484491.1","BIMP24990",100742533,"LOC100742533","lambda-crystallin homolog isoform X2"
"52","XP_003484493.1","BIMP24973",100742769,"LOC100742769","scavenger receptor class B member 1"
"53","XP_003484495.1","BIMP24993",100743002,"LOC100743002","prostaglandin reductase 1 isoform X1"
"54","XP_003484498.1","BIMP24994",100743365,"LOC100743365","transmembrane protein 115"
"55","XP_003484501.1","BIMP24996",100743723,"LOC100743723","prenylcysteine oxidase isoform X1"
"56","XP_003484502.1","BIMP24968",100743842,"LOC100743842","ribosome biogenesis protein BRX1 homolog"
"57","XP_003484503.1","BIMP24997",100743960,"LOC100743960","solute carrier family 35 member E2A"
"58","XP_003484504.1","BIMP24967",100744078,"LOC100744078","cystathionine gamma-lyase isoform X2"
"59","XP_003484505.1","BIMP24998",100744192,"LOC100744192","transmembrane protein 59-like"
"60","XP_003484507.1","BIMP24966",100744391,"LOC100744391","uncharacterized protein LOC100744391"
"61","XP_003484508.1","BIMP24965",100744513,"LOC100744513","uncharacterized protein PF11_0213"
"62","XP_003484514.2","BIMP24972",100745232,"LOC100745232","uncharacterized protein LOC100745232"
"63","XP_003484515.1","BIMP23268",100745353,"LOC100745353","sex peptide receptor-like"
"64","XP_003484516.1","BIMP23264",100745475,"LOC100745475","elongation of very long chain fatty acids protein 6-like"
"65","XP_003484520.1","BIMP11319",100745922,"LOC100745922","zinc finger protein 543"
"66","XP_003484529.1","BIMP11338",100747032,"LOC100747032","RNA-binding protein squid isoform X7"
"67","XP_003484530.1","BIMP11338",100747032,"LOC100747032","RNA-binding protein squid isoform X1"
"68","XP_003484531.1","BIMP11339",100747231,"LOC100747231","ras GTPase-activating protein-binding protein 2"
"69","XP_003484532.1","BIMP11342",100747351,"LOC100747351","histone H2A.V"
"70","XP_003484533.1","BIMP11341",100747471,"LOC100747471","SPARC"
"71","XP_003484539.1","BIMP11322",100748191,"LOC100748191","phospholipase B1, membrane-associated-like isoform X1"
"72","XP_003484540.1","BIMP19622",100748314,"LOC100748314","CD151 antigen"
"73","XP_003484547.1","BIMP19601",100749071,"LOC100749071","uncharacterized protein LOC100749071"
"74","XP_003484548.1","BIMP19627",100749190,"LOC100749190","GS homeobox 1-like"
"75","XP_003484549.1","BIMP19600",100749311,"LOC100749311","uncharacterized protein LOC100749311"
"76","XP_003484551.1","BIMP19598",100749546,"LOC100749546","solute carrier family 35 member F2-like isoform X1"
"77","XP_003484554.1","BIMP19632",100749896,"LOC100749896","zeta-sarcoglycan isoform X1"
