Bimp,Bter
BIMP17397,LOC100644221
BIMP14318,
BIMP19284,
BIMP23412,
BIMP17557,
BIMP11205,LOC100649763
BIMP17499,
BIMP23554,LOC100649943
BIMP13911,LOC100646285
BIMP20193,
BIMP16913,
BIMP25366,LOC100647623
BIMP19888,
BIMP25500,
BIMP23818,
BIMP20691,
BIMP21690,
BIMP11590,LOC105665978
BIMP17457,
BIMP21546,LOC110119586
BIMP21546,LOC105666070
BIMP20210,
BIMP12334,LOC100651373
BIMP19938,LOC100648136
BIMP16907,LOC100651396
BIMP11909,LOC100647141
BIMP24838,LOC100645537
BIMP25538,LOC105666389
BIMP25566,
BIMP11902,LOC100642923
BIMP12366,LOC105665775
BIMP16870,
BIMP18000,
BIMP12901,
BIMP11789,
BIMP15993,
BIMP16078,LOC100651748
BIMP11307,LOC100650272
BIMP19887,LOC100650942
BIMP15519,LOC100650042
BIMP10560,
BIMP13525,LOC100649793
BIMP14821,LOC100643666
BIMP21893,LOC100648450
BIMP24909,LOC100643857
BIMP25120,LOC100642781
BIMP20819,
BIMP21789,LOC100645612
BIMP12358,LOC105665776
BIMP12355,LOC100642447
BIMP22188,LOC100648309
BIMP16752,LOC100646449
BIMP24288,
BIMP23693,LOC100644851
BIMP21024,
BIMP22715,LOC100652160
BIMP10769,
BIMP23979,LOC100642398
BIMP11901,LOC100647063
BIMP12499,LOC100646417
BIMP13834,LOC100644754
BIMP11847,LOC100647326
BIMP11010,LOC100648567
BIMP13293,LOC100643615
BIMP16349,LOC100644036
BIMP20718,LOC100652275
BIMP16145,LOC100651955
BIMP12298,
BIMP19485,LOC100647162
BIMP20236,LOC100647174
BIMP22339,
BIMP19961,
BIMP19735,LOC100649472
BIMP13599,
BIMP12219,
BIMP20012,LOC100643026
BIMP13260,LOC100649696
BIMP13644,LOC100651682
BIMP22444,LOC100647026
BIMP13202,LOC105666047
BIMP24541,LOC100652111
BIMP24571,LOC100645438
BIMP21978,
BIMP18118,
BIMP19581,LOC100644061
BIMP24914,LOC100645606
BIMP25612,LOC100646455
BIMP14635,
BIMP22781,
BIMP13793,LOC100644913
BIMP22143,
BIMP21599,LOC110119338
BIMP25217,
BIMP17453,
BIMP24973,LOC100650572
BIMP16642,
BIMP13507,LOC100643393
BIMP23989,LOC100643521
BIMP17149,LOC100649853
BIMP13158,LOC100645044
BIMP24863,LOC100644777
