#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"Un","NT_177092.1",571,12314,"+",100749810,"LOC100749810","-","XP_012245429.1",1107,"titin"
"Un","NT_177092.1",16774,17888,"-",100748466,"LOC100748466","-","XP_003492370.1",147,"eukaryotic translation initiation factor 1A, X-chromosomal"
"Un","NT_177092.1",20842,29960,"-",100749419,"LOC100749419","-","XP_033178726.1",369,"progestin and adipoQ receptor family member 3 isoform X1"
"Un","NT_177092.1",20842,27377,"-",100749419,"LOC100749419","-","XP_033178727.1",353,"progestin and adipoQ receptor family member 3 isoform X2"
"Un","NT_177092.1",20842,27377,"-",100749419,"LOC100749419","-","XP_033178728.1",353,"progestin and adipoQ receptor family member 3 isoform X2"
"Un","NT_177092.1",20842,27377,"-",100749419,"LOC100749419","-","XP_003492378.1",353,"progestin and adipoQ receptor family member 3 isoform X2"
"Un","NT_177092.1",35552,38917,"-",100740429,"LOC100740429","-","XP_012245439.1",147,"ubiquitin-conjugating enzyme E2-17 kDa"
"Un","NT_177092.1",39841,40503,"+",100740909,"LOC100740909","-","XP_033178729.1",220,"uncharacterized protein LOC100740909"
"Un","NT_177092.1",41786,160875,"+",105681248,"LOC105681248","-","XP_012245421.1",893,"uncharacterized protein LOC105681248"
"Un","NT_177092.1",43546,58363,"+",100747980,"LOC100747980","-","XP_033178730.1",286,"uncharacterized protein LOC100747980"
"Un","NT_177092.1",183157,185956,"+",100749928,"LOC100749928","-","XP_024226003.1",131,"proton-coupled amino acid transporter-like protein pathetic"
"Un","NT_177092.1",191783,204098,"+",100748104,"LOC100748104","-","XP_003492367.2",485,"proton-coupled amino acid transporter-like protein pathetic"
"Un","NT_177092.1",206867,210098,"-",100750049,"LOC100750049","-","XP_033178732.1",467,"sensory neuron membrane protein 2-like"
"Un","NT_177092.1",210919,219800,"+",100748228,"LOC100748228","-","XP_003492368.1",466,"endothelial zinc finger protein induced by tumor necrosis factor alpha"
"Un","NT_177092.1",225998,227881,"-",100748345,"LOC100748345","-","XP_003492369.1",236,"procyclic form-specific polypeptide B1-alpha"
"Un","NT_177092.1",235059,238905,"+",100750166,"LOC100750166","-","XP_012245424.1",380,"putative cyclin-dependent serine/threonine-protein kinase DDB_G0272797/DDB_G0274007"
"Un","NT_177092.1",250332,253815,"+",100740065,"LOC100740065","-","XP_033178731.1",558,"LOW QUALITY PROTEIN: ataxin-2 homolog, partial"
"Un","NT_177092.1",258693,261664,"+",100740189,"LOC100740189","-","XP_003492387.1",172,"cell division protein ZipA-like"
"Un","NT_177092.1",278553,292246,"-",100748584,"LOC100748584","-","XP_012245446.1",405,"nuclear receptor subfamily 2 group E member 1"
"Un","NT_177092.1",278553,292246,"-",100748584,"LOC100748584","-","XP_012245447.1",405,"nuclear receptor subfamily 2 group E member 1"
"Un","NT_177092.1",321578,385928,"-",100740306,"LOC100740306","-","XP_012245441.1",639,"uncharacterized serine-rich protein C215.13"
"Un","NT_177092.1",427007,431108,"+",100748824,"LOC100748824","-","XP_003492373.1",230,"global transcription regulator sge1-like"
"Un","NT_177092.1",448433,451073,"+",100748703,"LOC100748703","-","XP_003492372.1",310,"DNA translocase FtsK"
"Un","NT_177092.1",459322,482155,"+",100740550,"LOC100740550","-","XP_012245442.1",567,"mediator of RNA polymerase II transcription subunit 12-like isoform X1"
"Un","NT_177092.1",459322,482155,"+",100740550,"LOC100740550","-","XP_024225997.1",539,"transcription factor SPT20 homolog isoform X2"
"Un","NT_177092.1",493706,497291,"+",100748940,"LOC100748940","-","XP_012245427.1",727,"uncharacterized protein LOC100748940 isoform X1"
"Un","NT_177092.1",493706,497291,"+",100748940,"LOC100748940","-","XP_012245428.1",682,"uncharacterized protein LOC100748940 isoform X2"
"Un","NT_177092.1",502146,508405,"-",100749061,"LOC100749061","-","XP_012245444.1",525,"sialin isoform X2"
"Un","NT_177092.1",502146,507598,"-",100749061,"LOC100749061","-","XP_012245443.1",531,"sialin isoform X1"
"Un","NT_177092.1",527172,528032,"-",105681251,"LOC105681251","-","XP_012245438.1",286,"uncharacterized protein LOC105681251"
"Un","NT_177092.1",528529,528801,"-",112213471,"LOC112213471","-","XP_024225991.1",90,"uncharacterized protein LOC112213471"
"Un","NT_177092.1",528529,528801,"-",112213471,"LOC112213471","-","XP_024225992.1",90,"uncharacterized protein LOC112213471"
"Un","NT_177092.1",538687,539817,"-",100749302,"LOC100749302","-","XP_003492377.1",144,"uncharacterized protein LOC100749302"
"Un","NT_177092.1",541440,543009,"-",100749691,"LOC100749691","-","XP_003492381.1",146,"uncharacterized protein LOC100749691"
"Un","NT_177092.1",546113,548187,"-",100740668,"LOC100740668","-","XP_003492391.1",156,"uncharacterized protein LOC100740668"
"Un","NT_177092.1",587842,654117,"+",100740788,"LOC100740788","-","XP_033178733.1",1609,"uncharacterized protein LOC100740788 isoform X1"
"Un","NT_177092.1",587842,654117,"+",100740788,"LOC100740788","-","XP_033178734.1",1609,"uncharacterized protein LOC100740788 isoform X1"
"Un","NT_177092.1",587842,654117,"+",100740788,"LOC100740788","-","XP_033178737.1",1609,"uncharacterized protein LOC100740788 isoform X1"
"Un","NT_177092.1",587842,654117,"+",100740788,"LOC100740788","-","XP_033178738.1",1609,"uncharacterized protein LOC100740788 isoform X1"
"Un","NT_177092.1",587842,654117,"+",100740788,"LOC100740788","-","XP_012245430.1",1609,"uncharacterized protein LOC100740788 isoform X1"
"Un","NT_177092.1",587842,654117,"+",100740788,"LOC100740788","-","XP_012245434.1",1609,"uncharacterized protein LOC100740788 isoform X1"
"Un","NT_177092.1",587842,652496,"+",100740788,"LOC100740788","-","XP_033178739.1",1400,"uncharacterized protein LOC100740788 isoform X2"
"Un","NT_177092.1",655890,660708,"+",105681250,"LOC105681250","-","XP_012245436.1",1429,"uncharacterized protein LOC105681250"
"Un","NT_177092.1",676899,686546,"+",105681249,"LOC105681249","-","XP_033178740.1",770,"uncharacterized protein LOC105681249"
"Un","NT_176551.1",3461,8590,"-",100748040,"LOC100748040","-","XP_003486794.2",377,"uncharacterized protein LOC100748040"
"Un","NT_176551.1",17899,47657,"+",100748158,"LOC100748158","-","XP_024220987.1",585,"coiled-coil domain-containing protein AGAP005037"
"Un","NT_176551.1",47681,50275,"+",117151268,"LOC117151268","-","XP_033174856.1",360,"coiled-coil domain-containing protein AGAP005037-like"
"Un","NT_176551.1",53117,54641,"-",100747921,"LOC100747921","-","XP_012236810.1",343,"28S ribosomal protein S22, mitochondrial isoform X2"
"Un","NT_176551.1",53117,54641,"-",100747921,"LOC100747921","-","XP_003486793.1",344,"28S ribosomal protein S22, mitochondrial isoform X1"
"Un","NT_176551.1",54906,55834,"+",117151118,"LOC117151118","-","XP_033174841.1",228,"uncharacterized protein LOC117151118"
"Un","NT_176551.1",56051,58219,"-",100749234,"LOC100749234","-","XP_003486802.1",566,"actin-related protein 8 isoform X1"
"Un","NT_176551.1",56051,57854,"-",100749234,"LOC100749234","-","XP_012236804.1",493,"actin-related protein 8 isoform X2"
"Un","NT_176551.1",59793,62562,"-",105680294,"LOC105680294","-","XP_012236806.1",476,"uncharacterized protein LOC105680294 isoform X2"
"Un","NT_176551.1",59793,62562,"-",105680294,"LOC105680294","-","XP_033174840.1",479,"uncharacterized protein LOC105680294 isoform X1"
"Un","NT_176551.1",59793,62562,"-",105680294,"LOC105680294","-","XP_012236805.1",479,"uncharacterized protein LOC105680294 isoform X1"
"Un","NT_176551.1",59793,61995,"-",105680294,"LOC105680294","-","XP_012236807.1",446,"uncharacterized protein LOC105680294 isoform X3"
"Un","NT_176551.1",59793,61995,"-",105680294,"LOC105680294","-","XP_012236808.1",446,"uncharacterized protein LOC105680294 isoform X3"
"Un","NT_176551.1",62838,66933,"-",100748283,"LOC100748283","-","XP_012236803.1",682,"nucleolar protein 10"
